,type,userId,caseNum,Meeting type,environment,windowMode,center position,distance,transparency,theta,phi,pitch,row,label(81-99),visual angle,favorite,scale,offset,x,y,z,rx,ry,rz,horlen,verlen
211,0,14,1,1,low,1,"[-0.01607138104736805, -0.48131328821182251, 0.95384585857391357]",1.0685236041457638,0.35069990158081055,-0.9652871835929062,-26.77236880239225,11.77563576765769,0.9652871835929622,,874.0552162983261,,1.9905686378479004,26.789765035141958,-0.01607138104736805,-0.4813132882118225,0.9538458585739136,0.0,-0.2588191032409668,0.9659258127212524,39.302230545569785,22.239328510499796
212,1,14,2,2,low,0,"[0.27096429467201233, -0.05629229545593262, 0.02840293943881989]",0.27820351989786973,0.0,84.01601137446974,-11.673954500327184,48.22622673320192,-84.01601137446974,,90.5890674675393,,0.5145227909088135,84.82317714487438,0.27096429467201233,-0.05629229545593262,0.028402939438819885,0.0,-0.25881919264793396,0.9659258127212524,9.856406971075426,9.190881396576016
213,0,14,2,2,low,0,"[-0.14077149331569672, -0.57223910093307495, 0.69081389904022217]",0.9080187470940121,0.35069990158081055,-11.517824309144927,-39.06534185284883,24.636810890967674,11.517824309144958,,778.9021257013297,,1.6553986072540283,40.727892296266354,-0.14077149331569672,-0.572239100933075,0.6908138990402222,0.0,-0.25881919264793396,0.9659258127212524,38.18846792534491,20.39626536534576
214,1,14,2,2,low,1,"[0.22618137300014496, -0.03401862457394600, -0.03244248032569885]",0.23101470697732027,0.0,98.1625848208453,-8.468022025708962,118.64146531266526,-98.1625848208453,,125.55999415490285,,0.5145227909088135,98.52715593042123,0.22618137300014496,-0.034018624573946,-0.03244248032569885,0.0,-0.2588191032409668,0.9659258127212524,11.208124193967395,11.202587692816934
215,0,14,2,2,low,1,"[-0.09262917190790176, -0.43198511004447937, 0.73612642288208008]",0.8585297952043666,0.35069990158081055,-7.172018103029458,-30.209845583421796,15.40591988336595,7.172018103029444,,917.0307223293005,,1.6553986072540283,31.049518737725577,-0.09262917190790176,-0.43198511004447937,0.7361264228820801,0.0,-0.2588191032409668,0.9659258127212524,40.40618331992735,22.695306682852255
216,1,14,3,1,high,0,"[-0.24677936732769012, -0.04430107027292252, -0.08455324172973633]",0.26459760326387816,0.0,251.08716238797126,-9.63831607416067,-177.59393903097984,104.8970768752866,,113.54592767738414,,0.4300122857093811,251.27208410961387,-0.24677936732769012,-0.044301070272922516,-0.08455324172973633,-0.06065034866333008,0.49995484948158264,0.8639252185821533,10.49288537781984,10.82123015633057
217,0,14,3,1,high,0,"[0.39561992883682251, 0.58188575506210327, 0.79787647724151611]",1.0638200190691929,0.0,26.37410306942808,33.15991196607552,-13.530257644907907,-5.6696214823239135,,1297.0866423643013,,2.4483323097229004,42.36948281858883,0.3956199288368225,0.5818857550621033,0.7978764772415161,0.32951223850250244,0.36241838335990906,0.8718225955963135,47.51513644645278,27.29838824783875
218,1,14,3,1,high,1,"[-0.28381204605102539, 0.02780119143426418, -0.13547798991203308]",0.31571580492499723,0.0,244.48247276219516,5.051874856971622,-167.05307446483997,111.50176726527965,,34.70487274945589,,0.2913232445716858,244.53466201642664,-0.2838120460510254,0.027801191434264183,-0.13547798991203308,-0.07001151144504547,0.0235080998390913,0.9972691535949707,5.7732820856780975,6.011289979325451
219,0,14,3,1,high,1,"[0.22271555662155151, -0.62690931558609009, 1.24797320365905762]",1.4142328755126996,0.3586733937263489,10.118584940262565,-26.313715174774174,10.130025792440835,-6.441596840557118,,708.0114721642705,,2.3571419715881348,28.192150813523416,0.2227155566215515,-0.6269093155860901,1.2479732036590576,0.0614873506128788,-0.28418394923210144,0.9567961096763611,35.30113692017368,20.05633625243555
220,1,14,4,2,high,0,"[0.13160993158817291, -0.22450006008148193, -1.04024219512939453]",1.0722990607087437,0.0,172.78933191908953,-12.08504207886513,138.1301088749821,-157.93264597808374,,155.3198624255429,,0.23942580819129944,173.2114357283988,0.1316099315881729,-0.22450006008148193,-1.0402421951293945,0.22455650568008423,-0.48267775774002075,0.8465202450752258,12.417406916937495,12.508236499335842
221,0,14,4,2,high,0,"[-0.26470547914505005, 0.76973098516464233, 0.80350685119628906]",1.1437561104235976,0.0,-18.23383353018737,42.29788760116239,-3.4055134345315174,6.987307538326933,,1107.2679381480345,,2.3955178260803223,46.06065545264366,-0.26470547914505005,0.7697309851646423,0.8035068511962891,-0.1498013734817505,0.6403411626815796,0.7533410787582397,43.634833643011646,25.37577998364546
222,1,14,4,2,high,1,"[-0.12179853022098541, 0.02351393364369869, -0.57493597269058228]",0.5881659287421013,0.0,191.96110350444562,2.2912042819990432,144.75462137058952,161.03910932679676,,106.72832313541325,,0.2524801194667816,191.97477666533783,-0.12179853022098541,0.023513933643698692,-0.5749359726905823,-0.09683719277381897,-0.6071038842201233,0.7886998653411865,10.165234078249377,10.499347315944313
223,0,14,4,2,high,1,"[0.12046788632869720, -0.59668868780136108, 0.97929656505584717]",1.1530705373552805,0.5294939875602722,7.012990555770145,-31.163235295240753,14.811819240789491,-3.336002456064622,,870.8683405400373,,2.1570229530334473,31.94259336061899,0.1204678863286972,-0.5966886878013611,0.9792965650558472,0.0614873506128788,-0.28418394923210144,0.9567961096763611,39.42167240599668,22.091105916844967
224,1,15,1,1,low,0,"[0.29312697052955627, -0.02991660311818123, -0.06695589423179626]",0.30216140681156756,0.12844514846801758,102.86672457282836,-5.68208893965695,137.4909276563384,-66.37278768029199,,180.43678768515034,,0.8112859129905701,103.02353691783398,0.2931269705295563,-0.02991660311818123,-0.06695589423179626,0.5744723677635193,-0.2588200271129608,0.776526689529419,13.63621042159688,13.232179770369084
225,0,15,1,1,low,0,"[-0.01884318143129349, -0.42559105157852173, 0.79996562004089355]",0.90632654265313,0.1931304931640625,-1.3493519397087965,-28.00691040769661,10.117583380600985,-3.146186498028764,,733.1083688331905,,1.536545991897583,28.039396948613934,-0.018843181431293488,-0.42559105157852173,0.7999656200408936,-0.07461072504520416,-0.3064322769641876,0.9489638805389404,35.97627155222705,20.37755268132583
226,1,15,1,1,low,1,"[0.33055961132049561, -0.02899140492081642, -0.02354317158460617]",0.3326626506295861,0.12844514846801758,94.07385049169378,-4.999644624623016,110.64568168043284,-57.579910756845166,,171.45290931981378,,0.8019878268241882,94.20661225575451,0.3305596113204956,-0.02899140492081642,-0.02354317158460617,0.5744724273681641,-0.2588200867176056,0.776526689529419,13.213611917276594,12.975476379447905
