,type,userId,caseNum,Meeting type,environment,windowMode,center position,distance,transparency,theta,phi,label(81-99),visual angle,favorite
33,0,3,1,1,low,1,"[-0.13459792733192444, -0.29663562774658203, 0.46953219175338745]",0.5714628394,0.7777433395,1.849973707,2.116571984,7,0.3469720232,1
34,1,3,1,1,low,0,"[0.09676147997379303, -0.29294857382774353, 0.5368891358375549]",0.6192185358,1,1.392484312,2.063595677,9,0.1730398503,0
35,0,3,1,1,low,0,"[-0.21936187148094177, -0.25304123759269714, 0.4473631680011749]",0.5588231408,0.7777433395,2.026689387,2.040711832,7,0.3565923351,0
36,1,3,2,2,low,0,"[0.13366448879241943, -0.27762824296951294, 0.5101934671401978]",0.5960209818,1,1.314567193,2.055337956,9,0.2611470552,0
37,1,3,2,2,low,1,"[0.13366448879241943, -0.27762824296951294, 0.5101934671401978]",0.5960209818,1,1.314567193,2.055337956,9,0.2611470552,1
38,0,3,2,2,low,0,"[-0.18248794972896576, -0.26526060700416565, 0.44992876052856445]",0.5532638891,0.7777433395,1.956114926,2.070820566,7,0.3367017211,0
39,0,3,2,2,low,1,"[-0.18248794972896576, -0.26526060700416565, 0.44992876052856445]",0.5532638891,0.7777433395,1.956114926,2.070820566,7,0.3367017211,1
40,1,3,3,1,high,0,"[0.2130497395992279, -0.42447853088378906, 0.7803955078125]",0.9135586261,0.5689389706,1.304288343,2.054027621,9,0.2096741363,1
41,0,3,3,1,high,0,"[-0.13835078477859497, -0.40521907806396484, 0.7071108222007751]",0.8266493548,0.8327753544,1.764011918,2.083109369,7,0.31275903,1
42,1,3,3,1,high,1,"[0.40390411019325256, -0.4996304214000702, 0.6373894810676575]",0.9050052148,0.5689389706,1.00597603,2.155646702,9,0.2061556405,0
43,0,3,3,1,high,1,"[0.05371135473251343, -0.5123577117919922, 0.7991205453872681]",0.950783351,0.8327753544,1.503684185,2.139902783,8,0.2731470753,0
44,1,3,4,2,high,0,"[0.1805015206336975, -0.5876120924949646, 0.8804590106010437]",1.073814155,1,1.368589639,2.14983497,9,0.1423443962,1
45,1,3,4,2,high,1,"[0.1805015206336975, -0.5876120924949646, 0.8804590106010437]",1.073814155,1,1.368589639,2.14983497,9,0.1423443962,0
46,0,3,4,2,high,0,"[-0.0530887246131897, -0.605137825012207, 1.3325189352035522]",1.464451062,0.5657718182,1.610616145,1.996781591,8,0.2884955392,1
47,0,3,4,2,high,1,"[-0.0530887246131897, -0.605137825012207, 1.3325189352035522]",1.464451062,0.5657718182,1.610616145,1.996781591,8,0.2884955392,0
48,1,4,1,1,low,0,"[0.27586787939071655, -0.37704843282699585, 0.6452361345291138]",0.7966167691,0.5424335003,1.166771499,2.06384336,9,0.1323475123,0
49,1,4,1,1,low,1,"[0.27586787939071655, -0.37704843282699585, 0.6452361345291138]",0.7966167691,0.5424335003,1.166771499,2.06384336,9,0.1323475123,1
50,0,4,1,1,low,0,"[-0.08896297216415405, -0.4569636285305023, 0.5620666742324829]",0.7298281404,0.4683094025,1.72777244,2.247369818,8,0.4468653836,0
51,0,4,1,1,low,1,"[-0.08896297216415405, -0.4569636285305023, 0.5620666742324829]",0.7298281404,0.4683094025,1.72777244,2.247369818,8,0.4468653836,1
52,1,4,2,2,low,0,"[-0.04730907082557678, -0.14544948935508728, 0.6074848771095276]",0.6264435953,0.6132040024,1.648516413,1.805117639,8,0.1710457443,0
53,1,4,2,2,low,1,"[-0.04730907082557678, -0.14544948935508728, 0.6074848771095276]",0.6264435953,0.6132040024,1.648516413,1.805117639,8,0.1710457443,1
54,0,4,2,2,low,0,"[-0.046699970960617065, -0.33377766609191895, 0.5706749558448792]",0.6627656621,0.6734951138,1.652447262,2.098572543,8,0.3624850707,0
55,0,4,2,2,low,1,"[-0.046699970960617065, -0.33377766609191895, 0.5706749558448792]",0.6627656621,0.6734951138,1.652447262,2.098572543,8,0.3624850707,1
56,1,4,3,1,high,0,"[0.27575600147247314, -0.1637732982635498, 0.6597872376441956]",0.7336090679,0.2813503742,1.174914891,1.795936792,9,0.1456102971,1
57,0,4,3,1,high,0,"[0.009126383811235428, -0.21089720726013184, 0.6612129807472229]",0.6940918735,0.5054323673,1.556994716,1.879523508,8,0.3069828203,1
58,1,4,3,1,high,1,"[0.27789366245269775, -0.16251516342163086, 0.6523033380508423]",0.7274171505,0.2324187756,1.168062833,1.796111914,9,0.1472525825,0
59,0,4,3,1,high,1,"[0.023991435766220093, -0.21488261222839355, 0.6930860877037048]",0.7260292356,0.2549765706,1.536194766,1.871266807,8,0.2921317211,0
60,1,4,4,2,high,0,"[0.07115590572357178, -0.027598142623901367, 0.8673264384269714]",0.8706778803,0.5408811569,1.488939136,1.602498942,5,0.1199841375,1
